11/03/2013 22:33:38 (Std) 	WindowFactory for 'CEGUI/Tooltip' windows added. (0x41988f0)
11/03/2013 22:33:38 (Std) 	Created WindowFactory for 'CEGUI/ItemListbox' windows.
11/03/2013 22:33:38 (Std) 	WindowFactory for 'CEGUI/ItemListbox' windows added. (0x4155de0)
11/03/2013 22:33:38 (Std) 	Created WindowFactory for 'CEGUI/GroupBox' windows.
11/03/2013 22:33:38 (Std) 	WindowFactory for 'CEGUI/GroupBox' windows added. (0x4155ea0)
11/03/2013 22:33:38 (Std) 	Created WindowFactory for 'CEGUI/Tree' windows.
11/03/2013 22:33:38 (Std) 	WindowFactory for 'CEGUI/Tree' windows added. (0x41c05a0)
11/03/2013 22:33:38 (Std) 	Created WindowFactory for 'HorizontalLayoutContainer' windows.
11/03/2013 22:33:38 (Std) 	WindowFactory for 'HorizontalLayoutContainer' windows added. (0x41c0740)
11/03/2013 22:33:38 (Std) 	Created WindowFactory for 'VerticalLayoutContainer' windows.
11/03/2013 22:33:38 (Std) 	WindowFactory for 'VerticalLayoutContainer' windows added. (0x4159b90)
11/03/2013 22:33:38 (Std) 	Created WindowFactory for 'GridLayoutContainer' windows.
11/03/2013 22:33:38 (Std) 	WindowFactory for 'GridLayoutContainer' windows added. (0x4159d30)
11/03/2013 22:33:38 (Std) 	Window type alias named 'DefaultGUISheet' added for window type 'DefaultWindow'.
11/03/2013 22:33:38 (Std) 	CEGUI::System singleton created. (0x445aa50)
11/03/2013 22:33:38 (Std) 	---- CEGUI System initialisation completed ----
11/03/2013 22:33:38 (Std) 	
11/03/2013 22:33:38 (Std) 	Started creation of Scheme from XML specification:
11/03/2013 22:33:38 (Std) 	---- CEGUI GUIScheme name: TaharezLook
11/03/2013 22:33:38 (Std) 	Started creation of Imageset from XML specification:
11/03/2013 22:33:38 (Std) 	---- CEGUI Imageset name: TaharezLook
11/03/2013 22:33:38 (Std) 	---- Source texture file: TaharezLook.tga in resource group: (Default)
11/03/2013 22:33:38 (Std) 	Started creation of Font from XML specification:
11/03/2013 22:33:38 (Std) 	---- CEGUI font name: DejaVuSans-10
11/03/2013 22:33:38 (Std) 	----       Font type: FreeType
11/03/2013 22:33:38 (Std) 	----     Source file: DejaVuSans.ttf in resource group: (Default)
11/03/2013 22:33:38 (Std) 	---- Real point size: 10
11/03/2013 22:33:38 (Std) 	===== Falagard 'root' element: look and feel parsing begins =====
11/03/2013 22:33:38 (Std) 	===== Look and feel parsing completed =====
11/03/2013 22:33:38 (Std) 	No window renderer factories specified for module 'CEGUIFalagardWRBase' - adding all available factories...
11/03/2013 22:33:38 (Std) 	Created WindowRendererFactory for 'Falagard/Button' WindowRenderers.
11/03/2013 22:33:38 (Std) 	WindowRendererFactory 'Falagard/Button' added. (0x451d310)
11/03/2013 22:33:38 (Std) 	Created WindowRendererFactory for 'Falagard/Default' WindowRenderers.
11/03/2013 22:33:38 (Std) 	WindowRendererFactory 'Falagard/Default' added. (0x48e7ab0)
11/03/2013 22:33:38 (Std) 	Created WindowRendererFactory for 'Falagard/Editbox' WindowRenderers.
11/03/2013 22:33:38 (Std) 	WindowRendererFactory 'Falagard/Editbox' added. (0x48e8810)
11/03/2013 22:33:38 (Std) 	Created WindowRendererFactory for 'Falagard/FrameWindow' WindowRenderers.
11/03/2013 22:33:38 (Std) 	WindowRendererFactory 'Falagard/FrameWindow' added. (0x48f8c80)
11/03/2013 22:33:38 (Std) 	Created WindowRendererFactory for 'Falagard/ItemEntry' WindowRenderers.
11/03/2013 22:33:38 (Std) 	WindowRendererFactory 'Falagard/ItemEntry' added. (0x41bcff0)
11/03/2013 22:33:38 (Std) 	Created WindowRendererFactory for 'Falagard/ListHeader' WindowRenderers.
11/03/2013 22:33:38 (Std) 	WindowRendererFactory 'Falagard/ListHeader' added. (0x48efa00)
11/03/2013 22:33:38 (Std) 	Created WindowRendererFactory for 'Falagard/ListHeaderSegment' WindowRenderers.
11/03/2013 22:33:38 (Std) 	WindowRendererFactory 'Falagard/ListHeaderSegment' added. (0x48e84c0)
11/03/2013 22:33:38 (Std) 	Created WindowRendererFactory for 'Falagard/Listbox' WindowRenderers.
11/03/2013 22:33:38 (Std) 	WindowRendererFactory 'Falagard/Listbox' added. (0x48f92a0)
11/03/2013 22:33:38 (Std) 	Created WindowRendererFactory for 'Falagard/Menubar' WindowRenderers.
11/03/2013 22:33:38 (Std) 	WindowRendererFactory 'Falagard/Menubar' added. (0x48f9440)
11/03/2013 22:33:38 (Std) 	Created WindowRendererFactory for 'Falagard/MenuItem' WindowRenderers.
11/03/2013 22:33:38 (Std) 	WindowRendererFactory 'Falagard/MenuItem' added. (0x48f95e0)
11/03/2013 22:33:38 (Std) 	Created WindowRendererFactory for 'Falagard/MultiColumnList' WindowRenderers.
11/03/2013 22:33:38 (Std) 	WindowRendererFactory 'Falagard/MultiColumnList' added. (0x48f9780)
11/03/2013 22:33:38 (Std) 	Created WindowRendererFactory for 'Falagard/MultiLineEditbox' WindowRenderers.
11/03/2013 22:33:38 (Std) 	WindowRendererFactory 'Falagard/MultiLineEditbox' added. (0x48f9920)
11/03/2013 22:33:38 (Std) 	Created WindowRendererFactory for 'Falagard/PopupMenu' WindowRenderers.
11/03/2013 22:33:38 (Std) 	WindowRendererFactory 'Falagard/PopupMenu' added. (0x48f9ac0)
11/03/2013 22:33:38 (Std) 	Created WindowRendererFactory for 'Falagard/ProgressBar' WindowRenderers.
11/03/2013 22:33:38 (Std) 	WindowRendererFactory 'Falagard/ProgressBar' added. (0x48e9e20)
11/03/2013 22:33:38 (Std) 	Created WindowRendererFactory for 'Falagard/ScrollablePane' WindowRenderers.
11/03/2013 22:33:38 (Std) 	WindowRendererFactory 'Falagard/ScrollablePane' added. (0x48e9fc0)
11/03/2013 22:33:38 (Std) 	Created WindowRendererFactory for 'Falagard/Scrollbar' WindowRenderers.
11/03/2013 22:33:38 (Std) 	WindowRendererFactory 'Falagard/Scrollbar' added. (0x48ea160)
11/03/2013 22:33:38 (Std) 	Created WindowRendererFactory for 'Falagard/Slider' WindowRenderers.
11/03/2013 22:33:38 (Std) 	WindowRendererFactory 'Falagard/Slider' added. (0x48ea300)
11/03/2013 22:33:38 (Std) 	Created WindowRendererFactory for 'Falagard/Static' WindowRenderers.
11/03/2013 22:33:38 (Std) 	WindowRendererFactory 'Falagard/Static' added. (0x48ea5b0)
11/03/2013 22:33:38 (Std) 	Created WindowRendererFactory for 'Falagard/StaticImage' WindowRenderers.
11/03/2013 22:33:38 (Std) 	WindowRendererFactory 'Falagard/StaticImage' added. (0x48ea750)
11/03/2013 22:33:38 (Std) 	Created WindowRendererFactory for 'Falagard/StaticText' WindowRenderers.
11/03/2013 22:33:38 (Std) 	WindowRendererFactory 'Falagard/StaticText' added. (0x48ea8f0)
11/03/2013 22:33:38 (Std) 	Created WindowRendererFactory for 'Falagard/SystemButton' WindowRenderers.
11/03/2013 22:33:38 (Std) 	WindowRendererFactory 'Falagard/SystemButton' added. (0x4818df0)
11/03/2013 22:33:38 (Std) 	Created WindowRendererFactory for 'Falagard/TabButton' WindowRenderers.
11/03/2013 22:33:38 (Std) 	WindowRendererFactory 'Falagard/TabButton' added. (0x4818f90)
11/03/2013 22:33:38 (Std) 	Created WindowRendererFactory for 'Falagard/TabControl' WindowRenderers.
11/03/2013 22:33:38 (Std) 	WindowRendererFactory 'Falagard/TabControl' added. (0x4819130)
11/03/2013 22:33:38 (Std) 	Created WindowRendererFactory for 'Falagard/Titlebar' WindowRenderers.
11/03/2013 22:33:38 (Std) 	WindowRendererFactory 'Falagard/Titlebar' added. (0x48192d0)
11/03/2013 22:33:38 (Std) 	Created WindowRendererFactory for 'Falagard/ToggleButton' WindowRenderers.
11/03/2013 22:33:38 (Std) 	WindowRendererFactory 'Falagard/ToggleButton' added. (0x4819470)
11/03/2013 22:33:38 (Std) 	Created WindowRendererFactory for 'Falagard/Tooltip' WindowRenderers.
11/03/2013 22:33:38 (Std) 	WindowRendererFactory 'Falagard/Tooltip' added. (0x4819610)
11/03/2013 22:33:38 (Std) 	Created WindowRendererFactory for 'Falagard/ItemListbox' WindowRenderers.
